Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MW047016,SRR12720825,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29858,GenBank,complete,,,"Babiker,A., Piantadosi,A.",,USA: Georgia,GA,Homo sapiens,oronasopharynx,3/16/2020,SAMN16129818,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-033G/2020, complete genome"
MW047017,SRR12720811,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,complete,,,"Babiker,A., Piantadosi,A.",,USA: Georgia,GA,Homo sapiens,oronasopharynx,3/16/2020,SAMN16129830,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-049W/2020, complete genome"
MW047018,"SRR12720833,SRR12720835,SRR12720836",2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,complete,,,"Babiker,A., Piantadosi,A.",,USA: Georgia,GA,Homo sapiens,oronasopharynx,4/6/2020,SAMN16129852,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-139K/2020, complete genome"
MW047085,SRR12733105,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,complete,,,"Elbadry,M.A., Subramaniam,K., Waltzek,T.B., Loeb,J.C., Stephenson,C.J., Maurelli,A.T., Sabo-Attwood,T., Beau De Rochars,V.M., Morris,J.G., Lednicky,J.A.",,USA: Florida,FL,Homo sapiens,oronasopharynx,4/1/2020,SAMN16283040,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UF-6/2020, complete genome"
MW047307,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,3/19/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000501/2020, complete genome"
MW047308,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,3/19/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000502/2020, complete genome"
MW047309,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000505/2020, complete genome"
MW047310,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000506/2020, complete genome"
MW047311,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000507/2020, complete genome"
MW047312,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000508/2020, complete genome"
MW047313,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000509/2020, complete genome"
MW047314,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000510/2020, complete genome"
MW047315,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,3/27/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000513/2020, complete genome"
MW047316,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,3/27/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000514/2020, complete genome"
MW047317,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,3/27/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000515/2020, complete genome"
MW047318,,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Jaworski,E., Langsjoen,R.M., Judy,B., Newman,P., Plante,K., Pyles,R., Ksiazek,T., Weaver,S.C., Routh,A.L.",,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,4/1/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000516/2020, complete genome"
MW042923,,2020-09-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29854,GenBank,complete,,,"Flores,H.",,"USA: SC, GEORGETOWN",SC,Homo sapiens,oronasopharynx,7/10/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/COVID20-1096/2020, complete genome"
MW042925,,2020-09-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29819,GenBank,complete,,,"Flores,H.",,"USA: SC, GEORGETOWN",SC,Homo sapiens,oronasopharynx,7/10/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/COVID20-1098/2020, complete genome"
MW035370,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1199/2020, complete genome"
MW035371,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1200/2020, complete genome"
MW035373,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/6/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1202/2020, complete genome"
MW035374,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Marquette county",WI,Homo sapiens,oronasopharynx,8/6/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1203/2020, complete genome"
MW035376,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/30/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1205/2020, complete genome"
MW035377,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,8/10/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1206/2020, complete genome"
MW035378,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/10/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1207/2020, complete genome"
MW035379,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1208/2020, complete genome"
MW035380,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1209/2020, complete genome"
MW035381,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Lafayette county",WI,Homo sapiens,oronasopharynx,8/7/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1210/2020, complete genome"
MW035382,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1211/2020, complete genome"
MW035384,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/19/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1213/2020, complete genome"
MW035385,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/18/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1214/2020, complete genome"
MW035386,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/20/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1215/2020, complete genome"
MW035388,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,8/20/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1217/2020, complete genome"
MW035389,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/20/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1218/2020, complete genome"
MW035391,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,8/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1220/2020, complete genome"
MW035392,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/18/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1221/2020, complete genome"
MW035393,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/18/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1222/2020, complete genome"
MW035394,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,8/19/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1223/2020, complete genome"
MW035395,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,8/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1224/2020, complete genome"
MW035396,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/14/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1225/2020, complete genome"
MW035397,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1226/2020, complete genome"
MW035399,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/15/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1228/2020, complete genome"
MW035400,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,8/14/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1229/2020, complete genome"
MW035401,,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Moreno,G., Braun,K., Baczenas,J.J., Baker,D.",,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,8/20/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1230/2020, complete genome"
