Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT646068,"SRR12447398,SRR12447506",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/19/2020,SAMN15691627,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00051/2020, complete genome"
MT646069,"SRR12447396,SRR12447505",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/7/2020,SAMN15691628,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00052/2020, complete genome"
MT646070,"SRR12447394,SRR12447503",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/20/2020,SAMN15691630,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00055/2020, complete genome"
MT646071,"SRR12447393,SRR12447502",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/11/2020,SAMN15691631,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00057/2020, complete genome"
MT646072,SRR12447501,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/19/2020,SAMN15691632,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00058/2020, complete genome"
MT646073,"SRR12447392,SRR12447500",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/24/2020,SAMN15691633,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00059/2020, complete genome"
MT646074,"SRR12447391,SRR12447498",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691635,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00061/2020, complete genome"
MT646075,"SRR12447389,SRR12447495",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/13/2020,SAMN15691637,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00063/2020, complete genome"
MT646076,"SRR12447388,SRR12447494",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691638,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00064/2020, complete genome"
MT646077,"SRR12447387,SRR12447493",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/15/2020,SAMN15691639,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00065/2020, complete genome"
MT646078,SRR12447492,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/11/2020,SAMN15691640,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00067/2020, complete genome"
MT646079,SRR12447449,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/26/2020,SAMN15691641,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00116/2020, complete genome"
MT646080,SRR12447448,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/28/2020,SAMN15691642,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00117/2020, complete genome"
MT646081,SRR12447447,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/29/2020,SAMN15691643,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00118/2020, complete genome"
MT646082,SRR12447446,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/18/2020,SAMN15691644,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00119/2020, complete genome"
MT646083,SRR12447445,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/19/2020,SAMN15691645,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00120/2020, complete genome"
MT646084,SRR12447444,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/18/2020,SAMN15691646,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00122/2020, complete genome"
MT646086,"SRR12447386,SRR12447380",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/20/2020,SAMN15691622,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00017/2020, complete genome"
MT646087,SRR12447442,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/24/2020,SAMN15691648,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00127/2020, complete genome"
MT646088,SRR12447441,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/24/2020,SAMN15691649,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00128/2020, complete genome"
MT646089,SRR12447439,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/30/2020,SAMN15691650,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00129/2020, complete genome"
MT646090,SRR12447438,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/18/2020,SAMN15691651,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00131/2020, complete genome"
MT646091,SRR12447437,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691652,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00132/2020, complete genome"
MT646092,SRR12447436,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/30/2020,SAMN15691653,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00133/2020, complete genome"
MT646093,SRR12447435,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/25/2020,SAMN15691654,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00135/2020, complete genome"
MT646094,"SRR12447429,SRR12447368",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691621,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00031/2020, complete genome"
MT646096,"SRR12447451,SRR12447370",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/17/2020,SAMN15691550,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00029/2020, complete genome"
MT646097,"SRR12447411,SRR12447365",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691557,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00035/2020, complete genome"
MT646098,"SRR12447406,SRR12447360",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/16/2020,SAMN15691561,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00039/2020, complete genome"
MT646101,SRR12447465,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: DC,DC,Homo sapiens,oronasopharynx,3/28/2020,SAMN15691588,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-HP00096/2020, complete genome"
MT646106,SRR12447454,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/25/2020,SAMN15691598,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00110/2020, complete genome"
MT646112,SRR12447419,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/29/2020,SAMN15691615,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00154/2020, complete genome"
